,0,1,2,3,4,5
0,1.0,11.0,1.0,12.0,0.0,1.0
1,8.0,11.0,2.0,12.0,6.0,1.0
2,3.0,10.0,2.0,12.0,6.0,0.0
3,9.0,11.0,4.0,12.0,5.0,1.0
4,7.0,11.0,7.0,12.0,1.0,0.0
5,2.0,11.0,0.0,12.0,3.0,0.0
6,6.0,11.0,2.0,12.0,5.0,0.0
7,1.0,12.0,9.0,11.0,7.0,0.0
8,1.0,12.0,2.0,11.0,1.0,1.0
9,6.0,10.0,3.0,12.0,9.0,1.0
10,2.0,12.0,2.0,10.0,0.0,1.0
11,3.0,11.0,2.0,12.0,0.0,0.0
12,5.0,12.0,2.0,10.0,1.0,0.0
13,6.0,12.0,9.0,11.0,3.0,1.0
14,3.0,12.0,7.0,11.0,4.0,1.0
15,0.0,12.0,0.0,11.0,0.0,1.0
16,0.0,10.0,3.0,12.0,3.0,1.0
17,7.0,11.0,1.0,12.0,5.0,0.0
18,4.0,10.0,4.0,12.0,7.0,0.0
19,4.0,11.0,4.0,12.0,1.0,0.0
20,8.0,11.0,2.0,12.0,5.0,0.0
21,4.0,11.0,0.0,12.0,4.0,1.0
22,2.0,10.0,5.0,12.0,7.0,1.0
23,5.0,11.0,1.0,12.0,5.0,0.0
24,6.0,10.0,2.0,12.0,6.0,0.0
25,9.0,11.0,7.0,12.0,1.0,0.0
26,9.0,11.0,7.0,12.0,2.0,1.0
27,6.0,12.0,0.0,10.0,4.0,0.0
28,1.0,10.0,8.0,12.0,8.0,0.0
29,0.0,10.0,3.0,12.0,1.0,0.0
30,8.0,12.0,4.0,10.0,4.0,1.0
31,3.0,10.0,0.0,12.0,2.0,0.0
32,1.0,12.0,6.0,11.0,5.0,1.0
33,4.0,11.0,0.0,12.0,4.0,1.0
34,2.0,10.0,7.0,12.0,9.0,1.0
35,6.0,11.0,6.0,12.0,0.0,1.0
36,6.0,12.0,0.0,10.0,7.0,0.0
37,9.0,11.0,1.0,12.0,7.0,0.0
38,6.0,12.0,9.0,11.0,3.0,1.0
39,3.0,10.0,3.0,12.0,5.0,0.0
40,7.0,12.0,1.0,10.0,8.0,0.0
41,4.0,10.0,1.0,12.0,6.0,0.0
42,6.0,12.0,0.0,10.0,6.0,1.0
43,4.0,11.0,4.0,12.0,1.0,0.0
44,5.0,11.0,2.0,12.0,3.0,1.0
45,6.0,10.0,0.0,12.0,6.0,1.0
46,9.0,11.0,1.0,12.0,8.0,1.0
47,1.0,12.0,2.0,10.0,1.0,0.0
48,8.0,11.0,6.0,12.0,3.0,0.0
49,2.0,12.0,5.0,11.0,3.0,1.0
50,7.0,11.0,4.0,12.0,3.0,1.0
51,0.0,10.0,6.0,12.0,6.0,1.0
52,4.0,11.0,4.0,12.0,0.0,1.0
53,6.0,12.0,9.0,11.0,3.0,1.0
54,8.0,11.0,0.0,12.0,7.0,0.0
55,3.0,11.0,3.0,12.0,0.0,1.0
56,5.0,11.0,0.0,12.0,5.0,1.0
57,9.0,12.0,6.0,10.0,3.0,1.0
58,5.0,11.0,3.0,12.0,2.0,1.0
59,7.0,11.0,2.0,12.0,5.0,1.0
60,1.0,11.0,1.0,12.0,0.0,1.0
61,4.0,11.0,0.0,12.0,4.0,1.0
62,6.0,11.0,5.0,12.0,1.0,1.0
63,2.0,10.0,7.0,12.0,8.0,0.0
64,6.0,10.0,3.0,12.0,8.0,0.0
65,5.0,11.0,5.0,12.0,1.0,0.0
66,3.0,10.0,4.0,12.0,5.0,0.0
67,8.0,11.0,2.0,12.0,7.0,0.0
68,9.0,11.0,9.0,12.0,1.0,0.0
69,5.0,10.0,2.0,12.0,7.0,1.0
70,0.0,12.0,1.0,11.0,1.0,1.0
71,6.0,12.0,5.0,10.0,3.0,0.0
72,5.0,11.0,4.0,12.0,1.0,1.0
73,0.0,10.0,3.0,12.0,2.0,0.0
74,2.0,11.0,1.0,12.0,0.0,0.0
75,7.0,10.0,2.0,12.0,9.0,1.0
76,9.0,11.0,1.0,12.0,7.0,0.0
77,7.0,11.0,2.0,12.0,5.0,1.0
78,8.0,11.0,5.0,12.0,3.0,1.0
79,3.0,11.0,3.0,12.0,0.0,1.0
80,9.0,11.0,1.0,12.0,7.0,0.0
81,9.0,11.0,3.0,12.0,6.0,1.0
82,5.0,10.0,2.0,12.0,6.0,0.0
83,4.0,12.0,6.0,11.0,2.0,1.0
84,1.0,11.0,1.0,12.0,0.0,1.0
85,6.0,10.0,0.0,12.0,7.0,0.0
86,6.0,10.0,3.0,12.0,8.0,0.0
87,4.0,10.0,0.0,12.0,4.0,1.0
88,2.0,10.0,7.0,12.0,8.0,0.0
89,5.0,10.0,2.0,12.0,5.0,0.0
90,1.0,10.0,0.0,12.0,2.0,0.0
91,6.0,12.0,2.0,10.0,4.0,1.0
92,7.0,10.0,0.0,12.0,7.0,1.0
93,3.0,10.0,5.0,12.0,9.0,0.0
94,2.0,10.0,7.0,12.0,8.0,0.0
95,1.0,10.0,8.0,12.0,8.0,0.0
96,2.0,10.0,0.0,12.0,3.0,0.0
97,9.0,11.0,5.0,12.0,3.0,0.0
98,8.0,11.0,7.0,12.0,0.0,0.0
99,2.0,10.0,1.0,12.0,2.0,0.0
100,0.0,10.0,3.0,12.0,2.0,0.0
101,9.0,11.0,7.0,12.0,3.0,0.0
102,4.0,10.0,3.0,12.0,7.0,1.0
103,9.0,11.0,5.0,12.0,3.0,0.0
104,7.0,10.0,2.0,12.0,9.0,1.0
105,8.0,11.0,0.0,12.0,9.0,0.0
106,0.0,10.0,3.0,12.0,3.0,1.0
107,6.0,12.0,7.0,11.0,1.0,1.0
108,1.0,10.0,6.0,12.0,5.0,0.0
109,6.0,10.0,2.0,12.0,7.0,0.0
110,5.0,12.0,7.0,11.0,1.0,0.0
111,9.0,11.0,9.0,12.0,1.0,0.0
112,9.0,11.0,0.0,12.0,9.0,1.0
113,9.0,11.0,7.0,12.0,1.0,0.0
114,7.0,11.0,3.0,12.0,3.0,0.0
115,0.0,10.0,6.0,12.0,6.0,1.0
116,9.0,11.0,1.0,12.0,8.0,1.0
117,3.0,12.0,8.0,11.0,6.0,0.0
118,2.0,10.0,2.0,12.0,4.0,1.0
119,6.0,12.0,1.0,10.0,3.0,0.0
120,1.0,10.0,1.0,12.0,2.0,1.0
121,3.0,10.0,1.0,12.0,4.0,1.0
122,6.0,11.0,5.0,12.0,2.0,0.0
123,5.0,12.0,0.0,10.0,5.0,1.0
124,4.0,11.0,4.0,12.0,1.0,0.0
